Cust#,cContactId,Customer#,Company,Contact,Department,Territory,Manager,Phone,Address,Sales Rep,Status
6132,5155,,100% Natural - Cienfuegos,Cecilia,,,,6-227-9013,"21 NW 8th St, Homestead, FL 33030",Manager,Customer
5705,4728,,22ND St Produce,NA,,,,,"5644 W CERMAK ROAD , Chicago, IL 60804",,Customer
5686,4709,,7 W Division St,NA,,,,,"7 W Division St, Fort Dearborn, IL 60610",,Customer
6158,5181,,A ONE GROCERY,mike,,,,,"1088 W IRVIN PARK, Chicago, IL 60618",Manager,Customer
6135,5158,,A1 Groceries,Noble Diaz,,,,5-258-6556,"24735 S Dixie Hwy, Homestead, FL 33032",Manager,Customer
5718,4741,,Adrian's Fresh Market,NA,,,,1773933462,"3640 N Central Ave,, Harwood Hgts, IL 60634",,Customer
6177,5200,,AMIGOS MARKET,Priters,,,,,"951 ELMHURST RD, Des Plaines, IL 60016",Manager,Customer
6143,5166,,Aries Supermarket,Juan Luis,,,,5-558-9114,"5945 W 25th Ct, Hialeah, FL 33016",Manager,Customer
5698,4721,,Armitage Produce,NA,,,,1773488133,"3334 W Armitage Ave, Roberto Clemente, IL 60647",,Customer
5671,4694,,Asti Italian Food,NA,,,,1630351874,"1410 Irving Park Rd, Bensenville, IL 60106",,Customer
6159,5182,,AT STORE,María,,,,,"4443 N SHERIDAN RD, Chicago, IL 60640",Manager,Customer
5704,4727,,Austin Dollar Plus,NA,,,,,"5961 W CHICAGO AVE , Robert Leflore Jr., IL 60651",,Customer
5700,4723,,Berwyn Fruit mkt,NA,,,,,"3811 SO. HARLEM , Stickney, IL 60402",,Customer
6148,5171,,Brisas Supermarket,Ana,,,,4-260-4429,"636 S State Rd 7, Margate, FL 33068",Manager,Customer
5712,4735,,Butera Market,NA,,,,1708864497,"4761 N Nagle Ave, Harwood Hts, IL 60706",,Customer
5693,4716,,Carniceria Guanajuato,NA,,,,1773832816,"6040 W Diversey Ave, Cragin, IL 60639",,Customer
5694,4717,,Carniceria Guanajuato,NA,,,,1773831343,"5250 W Fullerton Ave, Cragin, IL 60639",,Customer
5696,4719,,CARNICERIA GUANAJUATO ASHLAND / CHICAGO,ALEX MEDINA,,,,1773775266,"1436 N Ashland Av, Chicago, IL 60622",Sales Rep 1,Customer
5695,4718,,CARNICERIA GUANAJUATO CALIFORNIA / CHICAGO,Miguel,,,,7732677739,"3140 N California Ave, Chicago, IL 60618",Sales Rep 1,Customer
5688,4711,,Carnicerias Jimenez,NA,,,,1773276769,"3850 W Fullerton Ave, Roberto Clemente, IL 60647",,Customer
5689,4712,,Carnicerias Jimenez 4204 W North Ave,NA,,,,,"4204 W North Ave, Cragin, IL 60639",,Customer
5687,4710,,Centro Fresh Market,NA,,,,1773934444,"4800 W Diversey Ave, Cragin, IL 60639",,Customer
6122,5145,,Cermak 2,Onesimo,,,,0000000000,"4401 W Armitage, Chicago, IL 60639",Manager,Customer
6162,5185,,CERMAK PRODUCT 2,victor,,,,,"4401 W ARMITAGE, Chicago, IL 60639",Manager,Customer
5720,4743,,Chicago Produce,NA,,,,1773474325,"3500 W Lawrence Ave, Ravenswood, IL 60625",,Customer
6116,5139,,CHIO DULCERIA,Alma,,,,8473238402,"312 w Liberty St, Wauconda, IL 60084",Sales Rep 1,Customer
6160,5183,,CREMERIA LA ORDENA,Yahaira,,,,,"5954 S Pulaski Rd, Chicago, IL 60629",Manager,Customer
6161,5184,,CREMERIA LA ORDENA #3,Verónica,,,,,"3234 W 26TH St, Chicago, IL 60623",Manager,Customer
5722,4745,,Cremeria La Ordena 2,NA,,,,1872205581,"3810 W Lawrence Ave, Ravenswood, IL 60625",,Customer
6121,5144,,CREMERIA LA ORDONA,Yajaira,,,,7089013163,"5954 52 s PULASKY Rd, Chicago, IL 60629",Manager,Customer
6136,5159,,Del Campo Tortilleria Mini Market,Edison,,,,5-248-4402,"820 N Krome Ave, Homestead, FL 33030",Manager,Customer
5714,4737,,Deli 4 You Market,NA,,,,1708451700,"4353 N Harlem Ave, Norridge, IL 60706, Harwood Hts, IL 60706",,Customer
5711,4734,,Deluxe Global Market,NA,,,,1773778831,"6332 W Higgins Ave, Chicago, IL 60630, Jefferson Pk, IL 60630",,Customer
6163,5186,,DOLLAR 26 DISCOUNT,Laura,,,,,"4043 W 26 st, Chicago, IL 60623",Manager,Customer
6124,5147,,Dollar Armitage,Mojamed,,,,7732278630,"4347 W Armitage, Chicago, IL 60639",Manager,Customer
6164,5187,,DOLLAR ARMITAGE,lupe,,,,,"4347 W ARMITAGE, Chicago, IL 60639",Manager,Customer
6165,5188,,DOLLAR DIVERSEY,Verónica,,,,,"5941 W DIVERSEY AV, Chicago, IL 60639",Manager,Customer
6123,5146,,Dollar Fullerton,Musha,,,,7737450529,"5209 w fullerton, Chicago, IL 60639",Manager,Customer
6168,5191,,DOLLAR FULLERTON,Mussa,,,,,"5209 W Fullerton, Chicago, IL 60639",Manager,Customer
6113,5136,-999909,Dollar Island,Rasmi,,,,7083074967,"5941 w Diversey Ave, Chicago, IL 60639",Sales Rep 1,Customer
6173,5196,,"El Barrio Fresh, LLC",Mario,,,,,"1414 W Algonquin Rd, Arlington Heights, IL 60005",Manager,Customer
6155,5178,,El Bodegon Dominicano,Juan Francisco Pineda,,,,6465000671,"3615 NW 17 Ave, Miami, FL 33142",Manager,Customer
6109,5132,,EL CANGREJO GUAYACO FOOD AND LIQUOR / CHICAGO,Nayelli,,,,7736307172,"4749 N Albany, Chicago, IL 60625",Sales Rep 1,Customer
6119,5142,,EL PASO CHICO,Eliana,,,,6303408739,"508 Grove St , Aurora, IL 60505",Sales Rep 1,Customer
6125,5148,-999335,El Paso Grande,Margarita,,,,6306779492,"634E New York Aurora, Aurora, IL 60505",Manager,Customer
5710,4733,,El Porvenir Super INC,NA,,,,,"3018 S LARAMIE AVE , Chicago, IL 60804",,Customer
6112,5135,-999275,El Toreo #,Pritesh,,,,2243429023,"1213 w irving park road , Bensenville, IL 60106",Sales Rep 1,Customer
6169,5192,,"El Toreo Market, Inc.",Brenda,,,,,"229 W Grand Ave Ste B, Bensenville, IL 60106",Manager,Customer
5676,4699,,El Toreo Supermarket,NA,,,,1630596586,"229 W Grand Ave, Bensenville, IL 60106",,Customer
6166,5189,,EL TOREO SUPERMARKET,Diana,,,,,"1213 W Irvin Park, Bensenville, IL 60106",Manager,Customer
5702,4725,,El Torito #2,NA,,,,,"5830 W. 16TH, Chicago, IL 60804",,Customer
6131,5154,,Emporium Products Inc,Marcela Giraldo,,,,3-494-0158,"1810 N Narragansett, Chicago, IL 60639",Manager,Customer
6117,5140,,EVELYN,Maria,,,,3125491826,"1001 N Pulasky Rd, Chicago, IL 60651",Manager,Customer
6133,5156,,Export Guatemala Prod. Centroamericanos,Pablo,,,,5-246-2626,"854 N Krome Ave, Homestead, FL 33030",Manager,Customer
6180,5203,,FABIOLA CARRASCO,Amiga,,,,7737931299,,Manager,Customer
5707,4730,,Familia Fresh Market,NA,,,,,"3308 OAK PARK, Stickney, IL 60402",,Customer
5719,4742,,Farm Market,NA,,,,1773200886,"6014 W Irving Park Rd, Harwood Hgts, IL 60634",,Customer
6171,5194,,FARMER’S BEST MARKET,Yan,,,,,"6420 W Fullerton Av, Elmwood Park, IL 60707",Manager,Customer
5678,4701,,Farmer's Best Market,NA,,,,1708565800,"23 W North Ave, Northlake, IL 60164",,Customer
5683,4706,,Farmer's Best Market,NA,,,,1708565800,"23 W North Ave, Northlake, IL 60164",,Customer
6174,5197,,Fiesta Food Mart,Omar,,,,,"220 Jackson St, Hurst, IL 62949",Manager,Customer
6127,5150,-999641,Fiesta Market,Omar,,,,6304794597,"220 Jackson Food Mart, Aurora, IL 60505",Manager,Customer
5672,4695,,Frank's Fresh Market,NA,,,,1630520560,"470 Georgetown Square, Wood Dale, IL 60191",,Customer
5667,4690,,Fresh Farm,NA,,,,1847777343,"5740 W Touhy Ave, Niles, IL 60714",,Customer
5692,4715,,Fresh Market Place,NA,,,,1773903000,"2134 N Western Ave, Roberto Clemente, IL 60647",,Customer
6179,5202,,Futuro mobile,Edy,,,,6308166443,"1219 E New York St #113, Aurora, IL 60505",Manager,Customer
5668,4691,,Gambino's Fresh Market,NA,,,,1847676233,"3720 Rose Street, Schiller Park, IL 60176",,Customer
5715,4738,,Gambino's Fresh Market,NA,,,,1847676233,"3720 Rose St, Schiller Park, IL 60176",,Customer
5716,4739,,George’s Grocery & Tobacco,NA,,,,1773388859,"8149 N Milwaukee Ave, Niles, IL 60714",,Customer
6170,5193,,Graciano’ Market,Héctor,,,,,"2379 Bode Rd, Schaumburg, IL 60194",Manager,Customer
